STATION,DATE,SOURCE,LATITUDE,LONGITUDE,ELEVATION,NAME,REPORT_TYPE,CALL_SIGN,QUALITY_CONTROL,WND,CIG,VIS,TMP,DEW,SLP
01466099999,2024-01-27T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0097,1","-0097,1","10176,1"
01466099999,2024-01-27T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0094,1","-0100,1","10188,1"
01466099999,2024-01-27T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0003,1","+0003,1","10177,1"
01466099999,2024-01-27T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"200,1,N,0020,1","99999,9,9,N","999999,9,9,9","+0034,1","+0029,1","10192,1"
01466099999,2024-01-28T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"170,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0008,1","+0008,1","10209,1"
01466099999,2024-01-28T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"200,1,N,0030,1","99999,9,9,N","999999,9,9,9","+0043,1","+0033,1","10213,1"
01466099999,2024-01-28T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"180,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0041,1","+0020,1","10189,1"
01466099999,2024-01-28T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"180,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0039,1","+0015,1","10160,1"
01466099999,2024-01-29T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"180,1,N,0050,1","99999,9,9,N","999999,9,9,9","+0040,1","+0017,1","10121,1"
01466099999,2024-01-29T09:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"200,1,N,0010,1","99999,9,9,N","999999,9,9,9","+0042,1","+0031,1","10168,1"
01466099999,2024-01-29T15:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","+0040,1","+0006,1","10225,1"
01466099999,2024-01-29T21:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"260,1,N,0010,1","99999,9,9,N","999999,9,9,9","-0009,1","-0010,1","10259,1"
01466099999,2024-01-30T03:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,5","99999,9,9,N","999999,9,9,9","-0032,1","-0032,1","10258,1"
01466099999,2024-02-06T10:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,9","999999,9,9,9","-0132,1","-0144,1","09979,1"
01466099999,2024-02-06T11:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,9","999999,9,9,9","-0130,1","-0142,1","09972,1"
01466099999,2024-02-19T02:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"999,9,C,0000,1","99999,9,9,9","999999,9,9,9","-0027,1","-0030,1","10168,1"
01466099999,2024-02-25T17:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"112,1,N,0018,1","99999,9,9,9","999999,9,9,9","+0025,1","+0019,1","10042,1"
01466099999,2024-04-10T16:00:00,4,59.9666666,11.0333333,109,"KJELLER AIRPORT, NO",FM-12,99999,V020,"272,1,N,0086,1","99999,9,9,9","999999,9,9,9","+0106,1","-0032,1","10109,1"
